player,team,slot,injury,pos_row,depth
Jarrett Stidham,DEN,QB2,1,QB,2
Sam Ehlinger,DEN,QB3,1,QB,3
J.K. Dobbins,DEN,RB1,1,RB,1
RJ Harvey,DEN,RB2,1,RB,2
Jonah Coleman,DEN,RB3,1,RB,3
Jaleel McLaughlin,DEN,RB4,1,RB,4
Courtland Sutton,DEN,WR1,1,WR1,1
Pat Bryant,DEN,WR4+,1,WR1,2
Michael Bandy,DEN,WR4+,1,WR1,3
Kolbe Katsis,DEN,WR4+,1,WR1,4
Jaylen Waddle,DEN,WR2,1,WR2,1
Marvin Mims Jr.,DEN,WR4+,1,WR2,2
Hakeem Butler,DEN,WR4+,1,WR2,3
Joseph Manjack IV,DEN,WR4+,1,WR2,4
Troy Franklin,DEN,WR3,1,WR3,1
Lil'Jordan Humphrey,DEN,WR4+,1,WR3,2
Dane Key,DEN,WR4+,1,WR3,3
Cameron Ross,DEN,WR4+,1,WR3,4
Evan Engram,DEN,TE1,1,TE,1
Adam Trautman,DEN,TE2,1,TE,2
Justin Joly,DEN,TE3,1,TE,3
Nate Adkins,DEN,TE4,1,TE,4
Adam Prentice,DEN,FB1,1,FB,1
Patrick Mahomes,KC,QB1,0,QB,1
Justin Fields,KC,QB2,1,QB,2
Garrett Nussmeier,KC,QB3,1,QB,3
Chris Oladokun,KC,QB4,1,QB,4
Kenneth Walker III,KC,RB1,1,RB,1
Emmett Johnson,KC,RB2,1,RB,2
Emari Demercado,KC,RB3,1,RB,3
Brashard Smith,KC,RB4,1,RB,4
Rashee Rice,KC,WR1,0,WR1,1
Jalen Royals,KC,WR4+,1,WR1,2
Jason Brownlee,KC,WR4+,1,WR1,3
Jeff Caldwell,KC,WR4+,1,WR1,4
Xavier Worthy,KC,WR2,0,WR2,1
Cyrus Allen,KC,WR4+,1,WR2,2
Jimmy Holiday,KC,WR4+,1,WR2,3
Omari Evans,KC,WR4+,1,WR2,4
Tyquan Thornton,KC,WR3,1,WR3,1
Nikko Remigio,KC,WR4+,1,WR3,2
Andrew Armstrong,KC,WR4+,1,WR3,3
Jacob De Jesus,KC,WR4+,1,WR3,4
Travis Kelce,KC,TE1,1,TE,1
Noah Gray,KC,TE2,1,TE,2
Jared Wiley,KC,TE3,1,TE,3
Jake Briningstool,KC,TE4,1,TE,4
Kirk Cousins,LV,QB1,1,QB,1
Fernando Mendoza,LV,QB2,1,QB,2
Aidan O'Connell,LV,QB3,1,QB,3
Jacob Clark,LV,QB4,1,QB,4
Ashton Jeanty,LV,RB1,1,RB,1
Mike Washington Jr.,LV,RB2,1,RB,2
Dylan Laube,LV,RB3,1,RB,3
Chris Collier,LV,RB4,1,RB,4
Tre Tucker,LV,WR1,1,WR1,1
Dont'e Thornton Jr.,LV,WR4+,1,WR1,2
Shedrick Jackson,LV,WR4+,1,WR1,3
Chase Roberts,LV,WR4+,1,WR1,4
Jalen Nailor,LV,WR2,1,WR2,1
Malik Benson,LV,WR4+,1,WR2,2
Phillip Dorsett II,LV,WR4+,1,WR2,3
E.J. Williams Jr.,LV,WR4+,1,WR2,4
Jack Bech,LV,WR3,1,WR3,1
Dareke Young,LV,WR4+,1,WR3,2
Brandon Johnson,LV,WR4+,1,WR3,3
Jonathan Brady,LV,WR4+,1,WR3,4
Brock Bowers,LV,TE1,1,TE,1
Michael Mayer,LV,TE2,1,TE,2
Ian Thomas,LV,TE3,1,TE,3
Carter Runyon,LV,TE4,1,TE,4
Connor Heyward,LV,FB1,1,FB,1
Justin Herbert,LAC,QB1,1,QB,1
Trey Lance,LAC,QB2,1,QB,2
DJ Uiagalelei,LAC,QB3,1,QB,3
Omarion Hampton,LAC,RB1,1,RB,1
Kimani Vidal,LAC,RB2,1,RB,2
Keaton Mitchell,LAC,RB3,1,RB,3
Jaret Patterson,LAC,RB4,1,RB,4
Ladd McConkey,LAC,WR1,0,WR1,1
Brenen Thompson,LAC,WR4+,1,WR1,2
Dalevon Campbell,LAC,WR4+,1,WR1,3
Devonte Ross,LAC,WR4+,1,WR1,4
Quentin Johnston,LAC,WR2,1,WR2,1
KeAndre Lambert-Smith,LAC,WR4+,1,WR2,2
Luke Grimm,LAC,WR4+,1,WR2,3
Sincere Brown,LAC,WR4+,1,WR2,4
Tre' Harris,LAC,WR3,1,WR3,1
Derius Davis,LAC,WR4+,1,WR3,2
