defense,season,week,opponent,QB PY,P TD,QB RY,RB1 RY,RB2+ RY,WR RY,RB1 Recep,RB1 RecY,RB2 Recep,RB2 RecY,WR1 Recep,WR1 RecY,WR2 Recep,WR2 RecY,WR3 Recep,WR3 RecY,WR4+ Recep,WR4+ RecY,TE1 Recep,TE1 RecY,TE2 Recep,TE2 RecY,QB TD,RB1 TD,RB2 TD,WR1 TD,WR2 TD,WR3 TD,WR4+ TD,TE1 TD,TE2 TD,D/ST TD,QB P+R,RB R+R
CAR,2024,7,WAS,211,2,84,71,59,0,0,0,2,3,6,98,4,25,1,16,1,23,4,40,2,6,0,1,0,0,0,0,0,1,1,1,295,133
CAR,2024,8,DEN,284,3,4,44,51,3,4,8,2,37,8,100,4,22,1,6,4,36,2,18,5,88,1,0,1,0,0,0,0,0,2,0,288,140
CAR,2024,9,NO,236,1,0,155,24,-1,6,60,1,25,1,13,0,0,2,34,1,5,2,41,5,58,0,0,0,0,0,0,0,0,2,0,236,264
CAR,2024,10,NYG,190,0,26,103,40,-2,1,1,1,5,6,50,5,51,4,39,1,7,4,37,0,0,1,1,0,0,0,0,0,0,0,0,216,149
CAR,2024,12,KC,269,3,60,68,17,20,3,19,3,20,4,46,5,35,1,15,1,6,6,62,4,66,0,0,0,0,1,0,0,0,2,0,329,124
CAR,2024,13,TB,240,1,8,152,76,0,3,33,1,2,8,118,4,42,2,25,0,0,4,20,0,0,0,1,0,1,0,0,0,0,0,0,248,263
CAR,2024,14,PHI,108,2,59,124,26,0,0,0,2,7,4,43,4,37,1,5,0,0,3,16,0,0,1,0,0,0,1,0,0,1,0,0,167,157
CAR,2024,15,DAL,214,3,5,149,30,27,0,0,1,11,9,116,1,11,0,0,4,51,2,23,1,2,0,0,0,1,1,0,1,0,0,0,219,190
CAR,2024,16,ARI,202,1,63,117,18,8,4,49,6,31,4,39,2,44,1,19,0,0,3,20,0,0,1,1,1,0,0,0,0,0,0,0,265,215
CAR,2024,17,TB,359,5,0,113,69,20,4,77,2,9,8,97,5,51,2,26,1,11,2,36,3,52,0,0,0,2,2,0,0,1,0,1,359,268
CAR,2024,18,ATL,312,2,5,170,52,0,2,3,2,17,10,187,4,66,1,24,0,0,2,15,0,0,1,2,0,2,0,0,0,0,0,0,317,242
CHI,2024,1,TEN,127,1,36,82,21,1,3,12,4,11,3,50,3,18,1,2,1,8,2,15,2,11,0,1,0,0,0,0,0,1,0,0,163,126
CHI,2024,2,HOU,260,1,-1,25,35,16,3,25,3,23,8,135,4,37,1,-3,0,0,2,21,2,22,0,0,0,1,0,0,0,0,0,0,259,108
CHI,2024,3,IND,167,0,24,110,16,0,1,25,0,0,4,36,1,44,0,0,3,22,1,40,0,0,0,2,1,0,0,0,0,0,0,0,191,151
CHI,2024,4,LAR,224,0,-1,94,26,0,4,10,0,0,2,37,4,82,0,0,6,62,4,33,0,0,0,1,0,0,0,0,0,0,0,0,223,130
CHI,2024,5,CAR,194,0,11,97,6,6,4,-2,2,27,3,23,2,37,1,8,6,81,3,13,1,7,0,1,0,0,0,0,0,0,0,0,205,128
CHI,2024,6,JAX,240,2,17,-1,52,0,0,0,2,16,3,27,3,39,5,45,0,0,1,11,10,102,0,0,0,0,0,2,0,0,0,0,257,67
CHI,2024,8,WAS,326,1,52,65,51,0,1,11,2,6,5,125,3,73,1,6,1,8,7,77,1,20,0,0,0,0,1,0,0,0,0,0,378,133
CHI,2024,9,ARI,154,0,6,107,98,0,3,12,3,39,2,34,0,0,0,0,0,0,3,35,2,34,0,0,2,0,0,0,0,1,0,0,160,256
CHI,2024,10,NE,184,1,24,74,46,0,1,3,1,4,4,50,4,47,1,2,0,0,1,14,3,64,0,0,0,0,0,1,0,0,0,0,208,127
CHI,2024,11,GB,261,1,18,76,17,-5,4,58,2,13,2,23,1,17,0,0,4,150,0,0,0,0,1,1,0,1,0,0,0,0,0,0,279,164
CHI,2024,12,MIN,344,2,-1,106,19,0,3,23,1,6,2,27,8,162,1,5,0,0,7,114,1,7,0,1,0,0,1,1,0,0,0,0,343,154
CHI,2024,13,DET,221,2,1,87,88,18,2,17,3,36,5,73,5,28,2,48,0,0,3,6,1,13,0,0,0,0,0,0,0,2,0,0,222,228
CHI,2024,14,SF,325,2,11,78,29,13,2,50,1,3,7,90,2,22,1,5,0,0,6,151,1,4,0,2,1,2,0,0,0,0,0,0,336,160
CHI,2024,15,MIN,231,1,0,86,28,0,2,20,0,0,7,73,7,63,1,5,2,18,5,52,0,0,0,1,1,1,0,0,0,0,0,0,231,134
CHI,2024,16,DET,336,3,-1,109,31,7,4,45,4,35,6,70,5,143,0,0,0,0,4,43,0,0,0,1,0,1,1,0,0,1,0,0,335,220
CHI,2024,17,SEA,160,0,19,57,46,0,3,19,0,0,3,32,3,42,3,20,0,0,4,43,1,4,0,0,0,0,0,0,0,0,0,0,179,122
CHI,2024,18,GB,205,0,3,44,132,4,1,2,1,-2,5,49,2,48,0,0,3,53,4,36,1,19,0,1,1,0,0,0,0,0,0,0,208,176
CIN,2024,1,NE,121,0,32,120,18,0,3,6,0,0,3,21,2,27,2,12,1,6,2,31,2,18,0,1,0,0,0,0,0,0,0,0,153,144
CIN,2024,2,KC,151,2,29,90,24,5,5,21,1,3,5,75,2,17,2,22,1,1,1,5,1,7,0,0,0,1,0,0,1,0,0,1,180,138
CIN,2024,3,WAS,254,2,39,33,36,0,1,4,2,22,4,100,3,44,3,29,3,17,5,38,0,0,1,1,1,1,0,0,1,0,0,0,293,95
CIN,2024,4,CAR,220,2,9,104,32,10,4,17,3,14,7,83,6,66,3,24,0,0,2,16,0,0,0,1,0,1,1,0,0,0,0,0,229,167
CIN,2024,5,BAL,348,4,55,92,17,9,1,4,1,8,7,111,4,58,1,4,2,31,3,13,7,119,0,1,0,0,1,0,0,2,1,0,403,121
CIN,2024,6,NYG,205,0,56,50,13,0,6,57,0,0,5,50,6,57,1,6,1,5,3,30,0,0,0,1,0,0,0,0,0,0,0,0,261,120
CIN,2024,7,CLE,277,1,44,5,28,0,0,0,2,19,1,18,6,41,8,81,0,0,10,76,4,42,0,0,1,0,0,0,0,1,0,0,321,52
CIN,2024,8,PHI,236,1,37,108,16,0,1,3,0,0,6,85,5,84,0,0,0,0,3,58,1,6,3,0,0,1,0,0,0,0,0,0,273,127
CIN,2024,9,LV,198,1,2,36,22,0,0,0,3,14,8,105,2,5,1,7,0,0,5,45,2,22,0,0,1,0,0,0,0,1,0,1,200,72
CIN,2024,10,BAL,290,4,33,68,-2,0,1,3,2,0,4,34,1,6,6,54,4,121,6,68,1,4,0,1,0,0,0,1,2,1,0,0,323,69
CIN,2024,11,LAC,297,2,65,56,28,6,1,3,0,0,6,123,2,48,2,23,1,14,4,80,1,6,0,2,0,0,1,0,0,1,0,0,362,87
CIN,2024,13,PIT,414,3,10,75,25,0,6,54,7,92,3,74,2,29,1,43,1,23,6,68,3,31,0,1,0,1,1,0,0,1,0,1,424,246
CIN,2024,14,DAL,183,2,5,131,4,16,1,10,2,7,6,93,0,0,1,16,1,3,3,32,2,22,0,0,0,1,0,0,1,0,0,0,188,152
CIN,2024,15,TEN,298,2,14,45,5,19,0,0,6,87,3,41,2,39,2,9,2,19,8,59,6,44,0,1,2,0,0,0,0,0,1,0,312,137
CIN,2024,16,CLE,157,0,49,92,7,0,5,39,2,3,2,20,2,21,0,0,0,0,8,66,1,8,0,1,0,0,0,0,0,0,0,0,206,141
CIN,2024,17,DEN,219,3,31,0,93,-1,2,0,3,20,5,55,2,27,1,-1,8,103,1,3,2,12,0,0,0,1,0,0,2,0,0,0,250,113
CIN,2024,18,PIT,148,1,16,36,22,0,4,20,0,0,1,0,0,0,3,18,1,25,8,85,0,0,0,1,0,0,0,0,0,1,0,0,164,78
CLE,2024,1,DAL,179,1,2,40,30,30,2,9,3,24,5,61,4,40,1,12,1,18,3,15,0,0,0,1,0,0,1,0,0,0,0,1,181,103
CLE,2024,2,JAX,220,0,45,52,26,4,3,6,0,0,3,43,2,94,1,-1,0,0,3,65,2,13,0,1,0,0,0,0,0,0,0,0,265,84
CLE,2024,3,NYG,236,2,20,65,23,4,4,43,2,17,8,78,7,61,1,7,0,0,1,13,1,17,0,1,0,2,0,0,0,0,0,0,256,148
CLE,2024,4,LV,130,0,-2,50,60,32,0,0,0,0,5,49,5,41,0,0,0,0,2,19,2,21,0,0,0,0,1,1,0,0,0,0,128,110
CLE,2024,5,WAS,236,1,84,18,111,2,0,0,2,30,4,112,1,10,3,19,3,55,2,10,0,0,0,2,1,0,0,0,1,0,0,0,320,159
CLE,2024,6,PHI,264,2,33,47,23,13,2,7,0,0,3,64,6,116,1,10,0,0,0,0,4,67,0,0,0,1,1,0,0,0,0,0,297,77
CLE,2024,7,CIN,181,2,-3,7,44,11,3,33,2,9,5,55,4,82,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,178,93
CLE,2024,8,BAL,289,2,46,73,5,0,1,4,1,14,7,115,1,28,3,36,0,0,4,47,6,45,0,1,0,0,0,1,0,0,1,0,335,96
CLE,2024,9,LAC,282,2,2,85,7,2,2,20,0,0,5,64,4,118,2,63,1,0,2,9,2,8,0,2,0,0,1,1,0,0,0,0,284,112
CLE,2024,11,NO,248,2,6,67,3,0,4,22,0,0,2,87,1,18,1,9,0,0,3,30,11,100,0,0,0,1,0,0,0,1,3,0,254,92
CLE,2024,12,PIT,270,1,36,41,43,0,2,13,3,19,4,48,3,78,2,39,0,0,4,59,3,14,0,0,1,0,1,0,0,0,0,0,306,116
CLE,2024,13,DEN,294,1,4,1,97,4,1,3,1,0,6,102,1,16,2,28,3,105,3,24,1,16,0,1,1,0,0,0,1,0,0,2,298,101
CLE,2024,14,PIT,158,2,17,53,50,0,0,0,3,23,1,4,1,10,3,36,3,38,3,48,1,-1,0,1,0,0,1,0,0,1,0,0,175,126
CLE,2024,15,KC,179,2,14,45,43,30,1,4,2,38,6,46,5,36,0,0,1,7,4,27,2,21,0,0,0,1,0,0,1,0,1,0,193,130
CLE,2024,16,CIN,252,3,18,91,0,7,3,18,0,0,6,97,8,58,3,53,0,0,2,14,1,12,0,0,0,1,1,1,0,0,0,0,270,109
CLE,2024,17,MIA,225,1,52,25,8,-11,2,13,2,16,9,105,4,41,1,16,1,8,3,26,0,0,1,0,0,0,0,0,0,1,0,0,277,62
CLE,2024,18,BAL,217,2,63,138,10,9,2,23,1,14,1,12,5,76,0,0,0,0,4,54,3,38,0,2,0,0,1,0,0,1,0,1,280,185
DAL,2024,1,CLE,169,1,39,44,10,0,6,25,2,20,2,16,3,25,3,9,1,3,4,44,3,27,0,1,0,0,1,0,0,0,0,0,208,99
DAL,2024,2,NO,243,2,-2,115,39,20,2,65,0,0,4,96,4,81,0,0,0,0,1,1,0,0,1,4,0,1,0,0,0,0,0,0,241,219
DAL,2024,3,BAL,182,1,87,151,33,3,1,23,2,21,3,20,3,28,1,56,0,0,1,4,1,30,1,2,0,0,1,0,0,0,0,0,269,228
DAL,2024,4,NYG,281,0,3,24,3,-4,1,14,1,19,12,115,11,71,3,56,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,284,60
DAL,2024,5,PIT,150,2,27,42,23,0,2,35,0,-2,3,26,3,26,1,6,1,9,3,22,3,28,0,0,0,0,0,0,0,1,1,0,177,98
DAL,2024,6,DET,334,3,4,80,89,11,1,0,3,28,4,37,3,76,4,73,3,68,1,52,0,0,0,2,0,1,1,0,0,1,0,0,338,197
DAL,2024,8,SF,260,1,56,18,95,54,0,0,4,23,4,71,4,38,0,0,0,0,6,128,0,0,1,0,1,0,0,0,0,1,0,0,316,136
